# cldr	eng	http://cldr.unicode.org/	MIT-like
06978656-n	eng:lemma	Abkhazian
06973941-n	eng:lemma	Avestan
06952861-n	eng:lemma	Afrikaans
06997486-n	eng:lemma	Akan
06987525-n	eng:lemma	Akkadian
06918312-n	eng:lemma	Aleut
06906971-n	eng:lemma	Algonquian
06987812-n	eng:lemma	Amharic
06949591-n	eng:lemma	Old
06919433-n	eng:lemma	Apache
06988057-n	eng:lemma	Arabic
06988307-n	eng:lemma	Aramaic
06908291-n	eng:lemma	Arapaho
06894544-n	eng:lemma	Artificial
06917764-n	eng:lemma	Arawak
06970784-n	eng:lemma	Assamese
06927007-n	eng:lemma	Azerbaijani
06927007-n	eng:lemma	Azeri
06974687-n	eng:lemma	Baluchi
06939656-n	eng:lemma	Balinese
06945679-n	eng:lemma	Baltic
06944480-n	eng:lemma	Belarusian
06990544-n	eng:lemma	Berber
06945569-n	eng:lemma	Bulgarian
06970510-n	eng:lemma	Bihari
06970946-n	eng:lemma	Bengali
06991980-n	eng:lemma	Bantu
06933931-n	eng:lemma	Tibetan
06961771-n	eng:lemma	Breton
06967529-n	eng:lemma	Catalan
06915601-n	eng:lemma	Caddo
06917926-n	eng:lemma	Carib
06978180-n	eng:lemma	Caucasian
06916217-n	eng:lemma	Cayuga
06978422-n	eng:lemma	Chechen
06940109-n	eng:lemma	Cebuano
06960298-n	eng:lemma	Celtic
06928047-n	eng:lemma	Chagatai
06957287-n	eng:lemma	Mari
06905828-n	eng:lemma	Chinook
06912436-n	eng:lemma	Choctaw
06920010-n	eng:lemma	Chipewyan
06916117-n	eng:lemma	Cherokee
06908700-n	eng:lemma	Cheyenne
06990371-n	eng:lemma	Coptic
06909298-n	eng:lemma	Cree
06944911-n	eng:lemma	Czech
06944156-n	eng:lemma	Church
06927952-n	eng:lemma	Chuvash
06961557-n	eng:lemma	Welsh
06954048-n	eng:lemma	Danish
06909478-n	eng:lemma	Dakota
06950528-n	eng:lemma	German
06909571-n	eng:lemma	Delaware
06998322-n	eng:lemma	Dinka
06979014-n	eng:lemma	Dravidian
06997587-n	eng:lemma	Ewe
06976392-n	eng:lemma	Greek
06968454-n	eng:lemma	Elamite
06947032-n	eng:lemma	English
06948761-n	eng:lemma	Middle
06895791-n	eng:lemma	Esperanto
06966825-n	eng:lemma	Spanish
06957896-n	eng:lemma	Estonian
06966695-n	eng:lemma	Basque
06974127-n	eng:lemma	Persian
06992929-n	eng:lemma	Fang
06958255-n	eng:lemma	Finnish
06939756-n	eng:lemma	Filipino
06938623-n	eng:lemma	Fijian
06955087-n	eng:lemma	Faroese
06964901-n	eng:lemma	French
06965961-n	eng:lemma	Canadian
06965580-n	eng:lemma	Old
06967935-n	eng:lemma	Friulian
06960778-n	eng:lemma	Irish
06961122-n	eng:lemma	Scottish
06946497-n	eng:lemma	Germanic
06966454-n	eng:lemma	Galician
06950973-n	eng:lemma	Middle
06917280-n	eng:lemma	Guarani
06950886-n	eng:lemma	Old
06980971-n	eng:lemma	Gondi
06955706-n	eng:lemma	Gothic
06977434-n	eng:lemma	Ancient
06971454-n	eng:lemma	Gujarati
06961221-n	eng:lemma	Manx
06982697-n	eng:lemma	Hausa
06910238-n	eng:lemma	Haida
06938493-n	eng:lemma	Hawaiian
06987124-n	eng:lemma	Hebrew
06970103-n	eng:lemma	Hindi
06975902-n	eng:lemma	Hittite
06937098-n	eng:lemma	Hmong
06958836-n	eng:lemma	Hungarian
06919818-n	eng:lemma	Hupa
06942699-n	eng:lemma	Armenian
06993225-n	eng:lemma	Herero
06896304-n	eng:lemma	Interlingua
06939198-n	eng:lemma	Indonesian
06941644-n	eng:lemma	Indo-European
06896500-n	eng:lemma	Ido
06973610-n	eng:lemma	Iranian
06916803-n	eng:lemma	Iroquoian
06954183-n	eng:lemma	Icelandic
06964247-n	eng:lemma	Italian
06929279-n	eng:lemma	Japanese
06939431-n	eng:lemma	Javanese
06978766-n	eng:lemma	Georgian
06933022-n	eng:lemma	Kachin
06993348-n	eng:lemma	Kamba
06932130-n	eng:lemma	Karen
06993719-n	eng:lemma	Kongo
06941341-n	eng:lemma	Khoisan
06927128-n	eng:lemma	Kazakh
06937348-n	eng:lemma	Khmer
06979957-n	eng:lemma	Kannada
06929171-n	eng:lemma	Korean
06958063-n	eng:lemma	Karelian
06972874-n	eng:lemma	Kashmiri
06974558-n	eng:lemma	Kurdish
06957042-n	eng:lemma	Komi
06961681-n	eng:lemma	Cornish
06927736-n	eng:lemma	Kirghiz
06962600-n	eng:lemma	Latin
06967282-n	eng:lemma	Ladino
06935594-n	eng:lemma	Lao
06946199-n	eng:lemma	Lithuanian
06998392-n	eng:lemma	Luo
06994089-n	eng:lemma	Luyia
06946355-n	eng:lemma	Latvian
06937531-n	eng:lemma	Austronesian
06998460-n	eng:lemma	Masai
06961033-n	eng:lemma	Middle
06938386-n	eng:lemma	Maori
06910868-n	eng:lemma	Micmac
06945473-n	eng:lemma	Macedonian
06980175-n	eng:lemma	Malayalam
06928839-n	eng:lemma	Mongolian
06928744-n	eng:lemma	Manchu
06916313-n	eng:lemma	Mohawk
06971281-n	eng:lemma	Marathi
06939051-n	eng:lemma	Malay
06988913-n	eng:lemma	Maltese
06932435-n	eng:lemma	Burmese
06919215-n	eng:lemma	Mayan
06918832-n	eng:lemma	Nahuatl
06952249-n	eng:lemma	Low
06972985-n	eng:lemma	Nepali
06934020-n	eng:lemma	Newari
06991277-n	eng:lemma	Niger-Kordofanian
06952572-n	eng:lemma	Dutch
06952705-n	eng:lemma	Flemish
06954303-n	eng:lemma	Norwegian
06953167-n	eng:lemma	Old
