# cldr	ful	http://cldr.unicode.org/	MIT-like
06997486-n	ful:lemma	Akaan
06987812-n	ful:lemma	Amarik
06988057-n	ful:lemma	Aarabeere
06944480-n	ful:lemma	Belaruuse
06945569-n	ful:lemma	Bulgariire
06970946-n	ful:lemma	Bengali
06944911-n	ful:lemma	Cekkere
06950528-n	ful:lemma	Docceere
06976392-n	ful:lemma	Gerke
06947032-n	ful:lemma	Engeleere
06966825-n	ful:lemma	Español
06974127-n	ful:lemma	Perseere
06964901-n	ful:lemma	Farayseere
06982697-n	ful:lemma	Hawsaŋkoore
06970103-n	ful:lemma	Hinndi
06958836-n	ful:lemma	Hongariire
06939198-n	ful:lemma	Endonesiire
06964247-n	ful:lemma	Italiyeere
06929279-n	ful:lemma	Saponeere
06939431-n	ful:lemma	Sawaneere
06937348-n	ful:lemma	Kemeere
06929171-n	ful:lemma	Koreere
06939051-n	ful:lemma	Malayeere
06932435-n	ful:lemma	Burmeese
06972985-n	ful:lemma	Nepaaleere
06952572-n	ful:lemma	Dacceere
06971605-n	ful:lemma	Punjabeere
06944720-n	ful:lemma	Poloneere
06966310-n	ful:lemma	Purtugeere
06968343-n	ful:lemma	Romaneere
06944348-n	ful:lemma	Riis
06993573-n	ful:lemma	Ruwaanndeere
06991004-n	ful:lemma	Somalii
06954925-n	ful:lemma	Sweedeere
06980315-n	ful:lemma	Tamil
06936149-n	ful:lemma	Taay
06926798-n	ful:lemma	Turkeere
06944623-n	ful:lemma	Ukereneere
06969916-n	ful:lemma	Urdu
06937229-n	ful:lemma	Wiyetnameere
06997368-n	ful:lemma	Yorrubaa
06929742-n	ful:lemma	Sinuwaare
06994792-n	ful:lemma	Suluŋkoore
09023118-n	ful:lemma	Anndoora
09044190-n	ful:lemma	Emiraat
08703454-n	ful:lemma	Afganistaan
08709704-n	ful:lemma	Antiguwaa
08708742-n	ful:lemma	Anngiyaa
08704822-n	ful:lemma	Albanii
09017526-n	ful:lemma	Armenii
08748499-n	ful:lemma	Antiiye
08707917-n	ful:lemma	Anngolaa
08711974-n	ful:lemma	Arjantiin
08991878-n	ful:lemma	Samowa
08845555-n	ful:lemma	Otiriis
09211266-n	ful:lemma	Ostaraalii
08831004-n	ful:lemma	Ostaraalii
08748794-n	ful:lemma	Aruuba
09018162-n	ful:lemma	Ajerbayjaan
08817630-n	ful:lemma	Bosnii
08755436-n	ful:lemma	Barbadoos
08755214-n	ful:lemma	Barbadoos
08848731-n	ful:lemma	Banglaadees
08849753-n	ful:lemma	Beljik
08896440-n	ful:lemma	Burkibaa
08714132-n	ful:lemma	Bulgarii
08848094-n	ful:lemma	Bahreyn
08848421-n	ful:lemma	Bahreyn
08716219-n	ful:lemma	Burunndi
08759420-n	ful:lemma	Benee
08710678-n	ful:lemma	Bermudaa
08896092-n	ful:lemma	Burnaay
