# cldr	lav	http://cldr.unicode.org/	MIT-like
06978656-n	lav:lemma	abhāzu
06973941-n	lav:lemma	avesta
06952861-n	lav:lemma	afrikandu
06997486-n	lav:lemma	akanu
06987525-n	lav:lemma	akadiešu
06918312-n	lav:lemma	aleutu
06906971-n	lav:lemma	algonkinu
06987812-n	lav:lemma	amharu
06949591-n	lav:lemma	senangļu
06919433-n	lav:lemma	apaču
06988057-n	lav:lemma	arābu
06988307-n	lav:lemma	aramiešu
06908291-n	lav:lemma	arapahu
06894544-n	lav:lemma	mākslīgās
06917764-n	lav:lemma	aravaku
06970784-n	lav:lemma	asamiešu
06927007-n	lav:lemma	azerbaidžāņu
06974687-n	lav:lemma	beludžu
06939656-n	lav:lemma	baliešu
06945679-n	lav:lemma	baltu
06944480-n	lav:lemma	baltkrievu
06990544-n	lav:lemma	berberu
06945569-n	lav:lemma	bulgāru
06970510-n	lav:lemma	biharu
06970946-n	lav:lemma	bengāļu
06991980-n	lav:lemma	bantu
06933931-n	lav:lemma	tibetiešu
06961771-n	lav:lemma	bretoņu
06967529-n	lav:lemma	katalāņu
06915601-n	lav:lemma	kadu
06917926-n	lav:lemma	karību
06978180-n	lav:lemma	kaukāziešu
06978422-n	lav:lemma	čečenu
06940109-n	lav:lemma	sebuāņu
06960298-n	lav:lemma	ķeltu
06928047-n	lav:lemma	džagatajs
06957287-n	lav:lemma	mariešu
06905828-n	lav:lemma	činuku
06912436-n	lav:lemma	čoktavu
06920010-n	lav:lemma	čipevaianu
06916117-n	lav:lemma	irokēzu
06908700-n	lav:lemma	šejenu
06990371-n	lav:lemma	koptu
06909298-n	lav:lemma	krī
06944911-n	lav:lemma	čehu
06944156-n	lav:lemma	baznīcslāvu
06927952-n	lav:lemma	čuvašu
06961557-n	lav:lemma	velsiešu
06954048-n	lav:lemma	dāņu
06909478-n	lav:lemma	dakotu
06950528-n	lav:lemma	vācu
06909571-n	lav:lemma	delavēru
06998322-n	lav:lemma	dinku
06979014-n	lav:lemma	dravīdu
06997587-n	lav:lemma	evu
06976392-n	lav:lemma	grieķu
06968454-n	lav:lemma	elamiešu
06947032-n	lav:lemma	angļu
06948761-n	lav:lemma	vidusangļu
06895791-n	lav:lemma	esperanto
06966825-n	lav:lemma	spāņu
06957896-n	lav:lemma	igauņu
06966695-n	lav:lemma	basku
06974127-n	lav:lemma	persiešu
06992929-n	lav:lemma	fangu
06958255-n	lav:lemma	somu
06939756-n	lav:lemma	filipīniešu
06938623-n	lav:lemma	fidžiešu
06955087-n	lav:lemma	fēru
06964901-n	lav:lemma	franču
06965961-n	lav:lemma	Kanādas
06965580-n	lav:lemma	senfranču
06967935-n	lav:lemma	friūlu
06960778-n	lav:lemma	īru
06961122-n	lav:lemma	gēlu
06946497-n	lav:lemma	ģermāņu
06966454-n	lav:lemma	galisiešu
06950973-n	lav:lemma	vidusaugšvācu
06917280-n	lav:lemma	gvaranu
06950886-n	lav:lemma	senaugšvācu
06980971-n	lav:lemma	gondu
06955706-n	lav:lemma	gotu
06977434-n	lav:lemma	sengrieķu
06971454-n	lav:lemma	gudžaratu
06961221-n	lav:lemma	meniešu
06982697-n	lav:lemma	hausu
06910238-n	lav:lemma	haidu
06938493-n	lav:lemma	havajiešu
06987124-n	lav:lemma	ivrits
06970103-n	lav:lemma	hindi
06975902-n	lav:lemma	hetu
06937098-n	lav:lemma	hmongu
06958836-n	lav:lemma	ungāru
06919818-n	lav:lemma	hupu
06942699-n	lav:lemma	armēņu
06993225-n	lav:lemma	hereru
06896304-n	lav:lemma	interlingva
06939198-n	lav:lemma	indonēziešu
06941644-n	lav:lemma	indoeiropiešu
06896500-n	lav:lemma	ido
06973610-n	lav:lemma	irāņu
06916803-n	lav:lemma	irokēzu
06954183-n	lav:lemma	īslandiešu
06964247-n	lav:lemma	itāļu
06929279-n	lav:lemma	japāņu
06939431-n	lav:lemma	javiešu
06978766-n	lav:lemma	gruzīnu
06933022-n	lav:lemma	kačinu
06993348-n	lav:lemma	kambu
06932130-n	lav:lemma	karenu
06993719-n	lav:lemma	kongu
06941341-n	lav:lemma	hosjanu
06927128-n	lav:lemma	kazahu
06937348-n	lav:lemma	khmeru
06979957-n	lav:lemma	kannadu
06929171-n	lav:lemma	korejiešu
06958063-n	lav:lemma	karēļu
06972874-n	lav:lemma	kašmiriešu
06974558-n	lav:lemma	kurdu
06957042-n	lav:lemma	komiešu
06961681-n	lav:lemma	korniešu
06927736-n	lav:lemma	kirgīzu
06962600-n	lav:lemma	latīņu
06967282-n	lav:lemma	ladino
06935594-n	lav:lemma	laosiešu
06946199-n	lav:lemma	lietuviešu
06998392-n	lav:lemma	luo
06946355-n	lav:lemma	latviešu
06937531-n	lav:lemma	austronēziešu
06998460-n	lav:lemma	masaju
06961033-n	lav:lemma	vidusīru
06938386-n	lav:lemma	maoru
06910868-n	lav:lemma	mikmaku
06945473-n	lav:lemma	maķedoniešu
06980175-n	lav:lemma	malajalu
06928839-n	lav:lemma	mongoļu
06928744-n	lav:lemma	mandžūru
06916313-n	lav:lemma	mohauku
06971281-n	lav:lemma	maratu
06939051-n	lav:lemma	malajiešu
06988913-n	lav:lemma	maltiešu
06932435-n	lav:lemma	birmiešu
06919215-n	lav:lemma	maiju
06918832-n	lav:lemma	navatlu
06952249-n	lav:lemma	lejasvācu
06972985-n	lav:lemma	nepāliešu
