# cldr	sag	http://cldr.unicode.org/	MIT-like
06997486-n	sag:lemma	Akâan
06987812-n	sag:lemma	Amarîki
06988057-n	sag:lemma	Arâbo
06944480-n	sag:lemma	Bielörûsi
06945569-n	sag:lemma	Bulugäri
06970946-n	sag:lemma	Bengäli
06944911-n	sag:lemma	Tyêki
06950528-n	sag:lemma	Zâmani
06976392-n	sag:lemma	Gerêki
06947032-n	sag:lemma	Anglëe
06966825-n	sag:lemma	Espanyöl
06974127-n	sag:lemma	Farsî
06964901-n	sag:lemma	Farânzi
06982697-n	sag:lemma	Haüsä
06970103-n	sag:lemma	Hîndi
06958836-n	sag:lemma	Hongruäa
06939198-n	sag:lemma	Enndonezïi
06964247-n	sag:lemma	Ênnde
06929279-n	sag:lemma	Zaponëe
06939431-n	sag:lemma	Zavanëe
06937348-n	sag:lemma	Kmêre
06929171-n	sag:lemma	Koreyëen
06939051-n	sag:lemma	Malëe
06932435-n	sag:lemma	Miamära,
06972985-n	sag:lemma	Nepalëe
06952572-n	sag:lemma	Holandëe
06971605-n	sag:lemma	Penzäbï
06944720-n	sag:lemma	Polonëe
06966310-n	sag:lemma	Portugëe,
06968343-n	sag:lemma	Rumëen
06944348-n	sag:lemma	Rûsi
06993573-n	sag:lemma	Ruandäa
06906028-n	sag:lemma	Sängö
06991004-n	sag:lemma	Somalïi
06954925-n	sag:lemma	Sueduäa
06980315-n	sag:lemma	Tämûli
06936149-n	sag:lemma	Thâi
06926798-n	sag:lemma	Tûrûku
06944623-n	sag:lemma	Ukrêni
06969916-n	sag:lemma	Ûrdu
06937229-n	sag:lemma	Vietnäm
06997368-n	sag:lemma	Yoruba
06929742-n	sag:lemma	Shinuäa
06994792-n	sag:lemma	Zûlu
09023118-n	sag:lemma	Andôro
09044190-n	sag:lemma	Arâbo
08703454-n	sag:lemma	Faganïta,
08709704-n	sag:lemma	Antîgua
08708742-n	sag:lemma	Angûîla
08704822-n	sag:lemma	Albanïi
09017526-n	sag:lemma	Armenïi
