# Persian Wordnet	fas	http://www.pwn.ir	Free to use 
05632175-n	lemma	سرزمین عجایب
09480699-n	lemma	سرزمین عجایب
06310237-n	lemma	شی
05632175-n	lemma	سرزمین پرنعمت
09480699-n	lemma	سرزمین پرنعمت
01794340-a	lemma	تجملی
01776468-v	lemma	علاقه داشتن به
01635432-v	lemma	علاقه داشتن به
05632732-n	lemma	امید واهی
02118242-v	lemma	رویا دیدن
01637633-v	lemma	رویا دیدن
02118242-v	lemma	خواب دیدن
05636887-n	lemma	چیره دستی
05637558-n	lemma	چیره دستی
05636048-n	lemma	نوازندگی
05636402-n	lemma	پوست آرایی
05636887-n	lemma	علوم
05999797-n	lemma	علوم
05638063-n	lemma	طرز کار
05638486-n	lemma	سواد
05638987-n	lemma	استعداد هنری
05639941-n	lemma	قایقرانی
08436036-n	lemma	ترکیب موجود زنده
00004475-n	lemma	ترکیب موجود زنده
05640040-n	lemma	نمایشگری
05636887-n	lemma	ورزیدگی
05637558-n	lemma	ورزیدگی
01776468-v	lemma	تصور کردن
01635432-v	lemma	تصور کردن
00631737-v	lemma	تصور کردن
05635321-n	lemma	بحث و جدلی
05643190-n	lemma	روش فنی
05665146-n	lemma	روش فنی
00004475-n	lemma	فرتاش
13954253-n	lemma	فرتاش
00005787-n	lemma	ته دریا
08578517-n	lemma	ته دریا
05643190-n	lemma	تکنیک
05665146-n	lemma	تکنیک
05644423-n	lemma	صنایع چوبی
05758548-n	lemma	صنایع چوبی
06311557-n	lemma	مفعول
05644527-n	lemma	بهره وری
13820993-n	lemma	بهره وری
05644527-n	lemma	راندمان
13820993-n	lemma	راندمان
10801291-n	lemma	راقم
10794014-n	lemma	راقم
00222879-r	lemma	یواش
00161630-r	lemma	یواش
05646926-n	lemma	خبط دماغ
05638486-n	lemma	با سوادی
05646926-n	lemma	سبک مغزی
05647643-n	lemma	بی مهارتی
00770437-v	lemma	سبب شدن
01645601-v	lemma	سبب شدن
05648953-n	lemma	بی ظرفیتی
05641720-n	lemma	عدم همکاری
05651242-n	lemma	فرهنگ لغات
00007846-n	lemma	یک کسی
00004475-n	lemma	موجود زنده
13954253-n	lemma	موجود زنده
09976429-n	lemma	آفریده
00007846-n	lemma	یک شخص
05658603-n	lemma	حس بویایی
05661400-n	lemma	علم اصول
06166898-n	lemma	علم اصول
05674927-n	lemma	برج عاج
06712325-n	lemma	موعظه
07243837-n	lemma	موعظه
05667404-n	lemma	سنن ملی
05809745-n	lemma	سنن ملی
02557719-a	lemma	ماده مغذی
00776262-n	lemma	اختلاس
00776732-n	lemma	اختلاس
05638987-n	lemma	استعداد هنرپیشگی
00684782-a	lemma	جازم
02585722-v	lemma	گرفته بودن
02772202-v	lemma	گرفته بودن
00006400-n	lemma	سلول
00024264-n	lemma	خواص
05849040-n	lemma	خواص
02627934-v	lemma	نیازمند بودن
01988080-v	lemma	فاصله گذاشتن
05692419-n	lemma	مشخص کننده
06649567-n	lemma	مشخص کننده
00007846-n	lemma	کسی
05870055-n	lemma	کسی
13742573-n	lemma	کسی
06420678-n	lemma	واژگان
06304059-n	lemma	واژگان
06326797-n	lemma	نفر
05664986-n	lemma	سبک علمی
