# Multilingual Central Repository	glg	http://adimen.si.ehu.es/web/MCR/	CC BY 3.0 
10197967-n	lemma	langrán
05254795-n	lemma	pelo
05993844-n	lemma	teoría científica
09379111-n	lemma	brecha
02958343-n	lemma	turismo
06355894-n	lemma	código
08654360-n	lemma	provincia
03278248-n	lemma	equipo electrónico
02084071-n	lemma	can
13518963-n	lemma	proceso natural
03791235-n	lemma	vehículo autopropulsado
14818238-n	lemma	composto químico
00235435-n	lemma	principio
03309808-n	lemma	tecido
03497657-n	lemma	sombreiro
00378985-n	lemma	composición
13121544-n	lemma	planta hidrófita
01184814-n	lemma	procedemento xudicial
00863513-n	lemma	reflexo
10557854-n	lemma	estudoso
07911677-n	lemma	cóctel
11562747-n	lemma	familia das magnoliopsidas
05788149-n	lemma	resolución
06043075-n	lemma	especialidade médica
06429590-n	lemma	texto relixioso
03636248-n	lemma	lámpada
06758225-n	lemma	fraude
00752431-n	lemma	fraude
02866578-n	lemma	bomba
08198398-n	lemma	unidade militar
08329453-n	lemma	xulgado
03961939-n	lemma	plataforma
04128837-n	lemma	vela
01942177-n	lemma	gasterópodos
07142566-n	lemma	grupo de debate
04334599-n	lemma	rúa
07314427-n	lemma	desventura
05943300-n	lemma	doutrina
01942177-n	lemma	univalvos
00887081-n	lemma	pedagoxía
00007846-n	lemma	persoa
13244109-n	lemma	posesións
07597365-n	lemma	confeito
09608709-n	lemma	benfeitor
07993929-n	lemma	grupo animal
00624738-n	lemma	exercicio físico
13604718-n	lemma	unidade monetaria
03391770-n	lemma	carcasa
03419014-n	lemma	peza de roupa
05084201-n	lemma	distancia
00986938-n	lemma	fogo
04105893-n	lemma	apousento
01657723-n	lemma	xénero dos réptiles
09765278-n	lemma	intérprete
02283201-n	lemma	corta
04623612-n	lemma	temperamento
07519253-n	lemma	asombro
08061042-n	lemma	negocio
05996646-n	lemma	disciplina
09614684-n	lemma	gardián
08329453-n	lemma	tribunal
05436752-n	lemma	xene
14127211-n	lemma	morbo
08574314-n	lemma	rexión
08630039-n	lemma	rexión
04602044-n	lemma	lugar de traballo
12998815-n	lemma	agárico
10794014-n	lemma	escritor
08103777-n	lemma	clase
05839024-n	lemma	clase
14465048-n	lemma	anomalía conxénita
03988170-n	lemma	poste
03828465-n	lemma	antifloxístico sen esteroides
02958343-n	lemma	coche
01432517-n	lemma	xénero dos peixes
02283201-n	lemma	cosco
10787470-n	lemma	muller
01428580-n	lemma	malacopterixio
07622708-n	lemma	pastelaría
00520257-n	lemma	demostración
15113229-n	lemma	período
02528163-n	lemma	teleósteos
00007846-n	lemma	humano
