als	Ervin Ruci. 2008. *On the current state of Albanet and related applications*. Technical Report, University of Vlora.
omw	Francis Bond and Kyonghee Paik. 2012. `A survey of wordnets and their licenses <http://web.mysites.ntu.edu.sg/fcbond/open/pubs/2012-gwc-wn-license.pdf>`_. In *Proceedings of the 6th Global WordNet Conference (GWC 2012)*. Matsue, Japan. 64–71.
omw	Francis Bond and Ryan Foster. 2013. `Linking and extending an open multilingual wordnet <http://aclweb.org/anthology/P/P13/P13-1133.pdf>`_. In *51st Annual Meeting of the Association for Computational Linguistics: ACL-2013*. Sofia. 1352–1362.
arb	Black W., Elkateb S., Rodriguez H., Alkhalifa M., Vossen P., Pease A., Bertran M., Fellbaum C.,. 2006. *The Arabic WordNet Project*. In *Proceedings of LREC 2006*.
arb	Lahsen Abouenour, Karim Bouzoubaa, Paolo Rosso. 2013. *On the evaluation and improvement of {Arabic} WordNet coverage and usability*. *Language Resources and Evaluation*, **47(3)** pp 891–917.
bul	Simov, Kiril and Osenova, Petya. 2010. `Constructing of an Ontology-based Lexicon for Bulgarian, Proceedings of LREC 2010 <http://www.lrec-conf.org/proceedings/lrec2010/summaries/848.html>`_.
cat, glg, spa	Aitor Gonzalez-Agirre, Egoitz Laparra and German Rigau. 2012. `Multilingual Central Repository version 3.0: upgrading a very large lexical knowledge base <http://adimen.si.ehu.es/web/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://adimen.si.ehu.es/~rigau/publications/gwc12-glr.pdf&nid=18>`_. In *Proceedings of the 6th Global WordNet Conference (GWC 2012)*. Matsue, Japan.
eus	Elisabete Pociello, Eneko Agirre and Izaskun ldezabal. 2010. `Methodology and construction of the Basque WordNet <http://www.springerlink.com/content/40n24044u3k2k277/>`_. *Language Resources and Evaluation*. Springer Netherlands, **45(2)** pp 121–142.
cmn	Shan Wang and Francis Bond. 2013. `Building the Chinese Open Wordnet (COW): Starting from Core Synsets <https://aclweb.org/anthology/W/W13/W13-4302.pdf>`_. In *Proceedings of the 11th Workshop on Asian Language Resources, a Workshop of The 6th International Joint Conference on Natural Language Processing (IJCNLP-6)*. Nagoya, Japan. pp 10–18.
qcn	Huang, C.-R., Hsieh, S.-K., Hong, J.-F., Chen, Y.-Z., Su, I.-L., Chen, Y.-X., and Huang, S.-W. 2010. *Chinese wordnet: Design and implementation of a cross-lingual knowledge processing infrastructure*. In *Journal of Chinese Information Processing*. **24(2)** pp 14–23. (in Chinese)
dan	Pedersen, B. S., Nimb, S., Asmussen, J., Sørensen, N. H., Trap-Jensen, L. and Lorentzen, H.. 2009. *DanNet -- the challenge of compiling a WordNet for Danish by reusing a monolingual dictionary*. *Language Resources and Evaluation*, Volume 43:3 pp 269-299.
eng	Christiane Fellbaum. (ed.). 1998. *WordNet: An Electronic Lexical Database*, MIT Press.
ell	Sofia Stamou, Goran Nenadic and Dimitris Christodoulakis. 2004. `Exploring Balkanet Shared Ontology for Multilingual Conceptual Indexing <http://www.lrec-conf.org/proceedings/lrec2004/summaries/113.htm>`_. *Proceedings of LREC 2004*.
fra	Benoit Sagot and Darla Fišer. 2008. Building a free French wordnet from multilingual resources, *E.L.R.A. (ELRA) (ed.), Proceedings of the Sixth International Language Resources and Evaluation (LREC 2008)*. Marrakech, Morocco.
heb	Noam Ordan and Shuly Wintner. 2007. Hebrew WordNet: a test case of aligning lexical databases across languages. *International Journal of Translation*, **19(1)**:39–58, 2007.
hrv	Oliver A., Šojat, K., Srebačić, M.. 2015. *Automatic Expansion of Croatian Wordnet*. In *Proceedings of the 29th CALS international conference: Applied Linguistic Research and Methodology*. Zadar, Croatia.
hrv	Raffaelli, Ida; Bekavac, Božo; Agić, Željko; Tadić, Marko. 2008. *Building Croatian WordNet*. In *Proceedings of the Fourth Global WordNet Conference*. pp 349-359.
ita	Emanuele Pianta, Luisa Bentivogli and Christian Girardi. 2002. *MultiWordNet: Developing an Aligned Multilingual Database*. In *Proceedings of the First International Conference on Global WordNet*. Mysore, India. January 21-25, 2002. pp 293-302.
ita	Antonio Toral, Stefania Bracal, Monica Monachini and Claudia Soria. 2010. *Rejuvenating the Italian WordNet: upgrading, standardising, extending*. In *Proceedings of the 5th International Conference of the Global WordNet Association (GWC-2010)*. Mumbai.
ind, zsm	Nurril Hirfana Mohamed Noor, Suerya Sapuan and Francis Bond. 2011. `Creating the open Wordnet Bahasa <http://web.mysites.ntu.edu.sg/fcbond/open/pubs/2011-wn-bahasa.pdf>`_. In *Proceedings of the 25th Pacific Asia Conference on Language, Information and Computation (PACLIC 25)*. pp 258–267. Singapore.
jpn	Hitoshi Isahara, Francis Bond, Kiyotaka Uchimoto, Masao Utiyama and Kyoko Kanzaki. 2008. *Development of Japanese WordNet*. In *LREC-2008*, Marrakech.
fas	Montazery, Mortaza and Heshaam Faili. 2010. *Automatic Persian WordNet Construction*. In *the 23rd International Conference on Computational Linguistics*. pp 846–850.
fin	Lindén K., Carlson. L. 2010. *FinnWordNet — WordNet påfinska via översättning*.  *LexicoNordica — Nordic Journal of Lexicography*, **17** pp 119–140.
