# Slovak WordNet	slk	http://korpus.juls.savba.sk/WordNet_en.html	CC BY SA 3.0 
13681275-n	slk:lemma	CZK
13400798-n	slk:lemma	taxa
01212572-v	slk:lemma	uchopovať
10125786-n	slk:lemma	generál
08065234-n	slk:lemma	systém
04089152-n	slk:lemma	hrebeňová väznica strechy
01601297-s	slk:lemma	severský
01170962-n	slk:lemma	konflikt
00075966-r	slk:lemma	opačne
00874226-s	slk:lemma	živý
01130169-v	slk:lemma	ochraňovať
05804793-n	slk:lemma	uvedomovanie si
06447763-n	slk:lemma	Júdov list
02075049-v	slk:lemma	vytratiť sa
03282591-n	slk:lemma	emblém
00210446-r	slk:lemma	úspešne
07573563-n	slk:lemma	dobré jedlo
02913152-n	slk:lemma	stavba
09964805-n	slk:lemma	kopista
02701871-n	slk:lemma	americká burza
09326662-n	slk:lemma	kopček
01761706-v	slk:lemma	dráždiť
08353912-n	slk:lemma	reklamná agentúra
00785008-v	slk:lemma	položiť otázku
15251336-n	slk:lemma	storočné jubileum
00213186-n	slk:lemma	vzdanie sa
03041810-n	slk:lemma	strešná nadstavba
02939185-n	slk:lemma	veľký kotol
01062583-n	slk:lemma	nečinnosť
12102133-n	slk:lemma	tráva
00839292-n	slk:lemma	úraz elektrickým prúdom
03242995-n	slk:lemma	mechanika
02061495-v	slk:lemma	uháňať
13338960-n	slk:lemma	garančná poistka pre splnenie kontraktu
13875571-n	slk:lemma	očko
04061969-n	slk:lemma	nika
02269143-v	slk:lemma	ušetriť si
00341655-s	slk:lemma	nestály
01888511-v	slk:lemma	triasť sa
01003050-a	slk:lemma	finálny
13508183-n	slk:lemma	posun o riadok
01874568-v	slk:lemma	nadnášať
01041954-v	slk:lemma	klebetiť
07445265-n	slk:lemma	postup
04951373-n	slk:lemma	svetlosť
10339966-n	slk:lemma	hudobník
01258264-s	slk:lemma	mrazivý
01002297-v	slk:lemma	zaznamenávať
01640124-s	slk:lemma	starodávny
00900726-n	slk:lemma	maľovanie
02541302-a	slk:lemma	nemocný
00531489-v	slk:lemma	znižovať sa
08748917-n	slk:lemma	Bonaire
09194357-n	slk:lemma	Alpy
00140751-v	slk:lemma	prehodiť
04548362-n	slk:lemma	taška
03551084-n	slk:lemma	kvapalinová brzda
00592199-n	slk:lemma	úrad starešinu
08415127-n	slk:lemma	zablokovaná porota
00370267-s	slk:lemma	bledomodrý
01601234-v	slk:lemma	nosiť sa
02122164-v	slk:lemma	bolieť
00746718-v	slk:lemma	zaveliť
07987380-n	slk:lemma	kvarteto
14515633-n	slk:lemma	odbor
06152821-n	slk:lemma	systematika
00033852-v	slk:lemma	mračiť sa
00943563-v	slk:lemma	rozprávať o
02642814-v	slk:lemma	presúvať
01475160-s	slk:lemma	schopný riadiť
03832673-n	slk:lemma	laptop
00990719-n	slk:lemma	priama paľba
