# Wiktionary	alq	http://wiktionary.org/	CC BY-SA
02114100-n	alq:lemma	mahìgan
02114100-n	alq:lemma	mokquishim
02127052-n	alq:lemma	pijiw
02131653-n	alq:lemma	makwa
02131653-n	alq:lemma	mosq
02338145-n	alq:lemma	wajack
02355227-n	alq:lemma	adjidamò
02361587-n	alq:lemma	akokodjìc
02363005-n	alq:lemma	amik
02402425-n	alq:lemma	adik
02430045-n	alq:lemma	wàwàckèci
02432983-n	alq:lemma	mòz
02441942-n	alq:lemma	cigosi
02442845-n	alq:lemma	càngwèci
02444819-n	alq:lemma	nigig
02445715-n	alq:lemma	cigàg
02450034-n	alq:lemma	wàbicèsè
07786686-n	alq:lemma	poquauhock
