# Wiktionary	chr	http://wiktionary.org/	CC BY-SA
00262792-a	chr:lemma	ᏧᎵᏨᏯᏍᏗ
00389310-a	chr:lemma	ᎤᏍᎪᎸ ᏌᎪᏂᎨ
00393105-a	chr:lemma	ᎤᏁᎬ
00683185-a	chr:lemma	ᏄᏁᎸᎾ
00744916-a	chr:lemma	ᎤᏦᏍᏗ
00844719-a	chr:lemma	ᏩᏂᎨ
00910101-a	chr:lemma	ᎤᏩᎾᏕᏍᎩ
01146493-a	chr:lemma	ᎠᎵᎮᎵᎩ
01150915-a	chr:lemma	ᎠᏍᏓᏯ
01251128-a	chr:lemma	ᎤᏴᏢ
01382086-a	chr:lemma	ᎡᏆ
01385255-a	chr:lemma	ᎤᎪᏗᏗ
01391351-a	chr:lemma	ᎤᏍᏗ
01433493-a	chr:lemma	ᎦᏅᎯᏓ
01452593-a	chr:lemma	ᎠᏍᏓᏯ
01557614-a	chr:lemma	ᏴᏫ
01568375-a	chr:lemma	ᎡᎶᎯ
01568375-a	chr:lemma	ᎠᏰᎵᏚᎾᏙᏢᏒ
01638438-a	chr:lemma	ᎠᎦᏴᎵ
01640850-a	chr:lemma	ᎢᏤᎢ
01667110-a	chr:lemma	ᏄᏁᎸᎾ
01687167-a	chr:lemma	ᎢᏤᎢ
01755024-a	chr:lemma	ᎢᎪᎯᏓ
01830599-a	chr:lemma	ᎤᎳᏂᎩᏛ
01918984-a	chr:lemma	ᎡᎷᏪᎢ
01968165-a	chr:lemma	ᏧᎩᏨᏅᏓ
01983162-a	chr:lemma	ᎠᏥᎸᏉᏗ
02054310-a	chr:lemma	ᎦᎸᏉᏗ
02058794-a	chr:lemma	ᎦᏂᏰᎬ
02236842-a	chr:lemma	ᎤᏩᎾᏕᏍᎩ
02340458-a	chr:lemma	ᏄᏢᏉᏛᎾ
02460502-a	chr:lemma	ᎤᏙᎯᏳ
02497471-a	chr:lemma	ᎤᏚᎩᏄᏛᎾ
02501534-a	chr:lemma	ᎦᎸᏉᏗ
02743261-a	chr:lemma	ᏴᏫ
00015388-n	chr:lemma	ᎦᎾᏝᎢ
00028270-n	chr:lemma	ᎠᎴᏰᏑ
00066636-n	chr:lemma	ᎤᏄᎸᎲᏍᎩ
00094001-n	chr:lemma	ᎥᏓᏗᏍᏕᎸᏗ
00421437-n	chr:lemma	ᎠᏓᎩᎷᏗ
00421437-n	chr:lemma	ᎠᏓᎩᎵᏲᏍᏙᏗ
00471613-n	chr:lemma	ᎠᎳᏍᎦᎶᏗ
00480993-n	chr:lemma	ᏔᎷᏣ ᎠᎳᏍᎦᎶᏗ
00766234-n	chr:lemma	ᎠᏍᎦᏅᏨ
01482330-n	chr:lemma	ᏗᎧᏳᎦ
01503061-n	chr:lemma	ᏥᏍᏆ
01518878-n	chr:lemma	ᎬᎾ ᎤᏔᎾ
01519563-n	chr:lemma	ᏄᎩᏂ ᎬᎾ
01519873-n	chr:lemma	ᎡᎳᏗᏝ ᎬᎾ ᎤᏔᎾ
01519873-n	chr:lemma	ᎢᎽ ᎬᎾ ᎤᏔᎾ
01520576-n	chr:lemma	ᎩᏫ-ᏥᏍᏆ
01521756-n	chr:lemma	ᎠᎺᎵᎨ ᎬᎾ ᎤᏔᎾ
01521756-n	chr:lemma	ᎵᎠ ᎬᎾ ᎤᏔᎾ
01558993-n	chr:lemma	ᏴᏩᏁᎬ ᏥᏉᏉ
01579028-n	chr:lemma	ᎪᎬ
01613294-n	chr:lemma	ᎠᏩᎯᎵ
01639765-n	chr:lemma	ᏩᎶᏏ
01674464-n	chr:lemma	ᏙᏲᎯᎳ
01693783-n	chr:lemma	ᎤᎵᏑᏫᏒ ᎠᏓᏁᏟᏴᏍᎩ ᏘᏲᎭᎵ
01693783-n	chr:lemma	ᎧᎻᎵᎣᏂ
01726692-n	chr:lemma	ᎢᎾᏛ
01792158-n	chr:lemma	ᎠᏨᏯ
01794158-n	chr:lemma	ᎬᏂ
01811909-n	chr:lemma	ᏬᏱ
01816887-n	chr:lemma	ᏥᏍᏆᎦᏬᏂᏍᎩ
01827403-n	chr:lemma	ᏧᎷ
01833805-n	chr:lemma	ᏩᎴᎷ
01843383-n	chr:lemma	ᎤᏔᎾ ᎠᎧᏴᏌᏗ
01846331-n	chr:lemma	ᎧᏬᏄ
01855672-n	chr:lemma	ᏌᏌ
01858441-n	chr:lemma	ᎧᎳᎩᏌ
01873310-n	chr:lemma	ᎹᏱᏕ
01874928-n	chr:lemma	ᏏᏆᎤᏤᏣᏍᏗ
01877134-n	chr:lemma	ᎤᏜᏩᏓ
01877134-n	chr:lemma	ᏗᎵᏔᏕᎩ ᏥᏍᏕᏥᏳᏍᏗ
01882714-n	chr:lemma	ᎪᏩᎳ ᏲᎾ
01887896-n	chr:lemma	ᏩᎧᎠᎩᎾ
01889520-n	chr:lemma	ᏘᏁᏆ
01910747-n	chr:lemma	ᏩᏂᎨ ᎠᏣᏗ
01935395-n	chr:lemma	ᎤᏥᏯ
01944390-n	chr:lemma	ᎡᎳᏆ
01956764-n	chr:lemma	ᎤᏯᏍᎦ
02062744-n	chr:lemma	ᏓᎠ
02064816-n	chr:lemma	ᎠᏌᎪᏂᎨ ᏓᏆ
02065726-n	chr:lemma	ᎦᏐᏆᏘ ᏓᏆ
02067240-n	chr:lemma	ᏓᏆ ᎤᏍᏆᎴᏂ
02068974-n	chr:lemma	ᏗᏁᏍᏆᏕᎩ
02070430-n	chr:lemma	ᏗᏁᏍᏆᏕᎩᏳᏍᏗ
02071294-n	chr:lemma	ᏗᏓᎯᎯ ᏓᏆ
02072493-n	chr:lemma	ᎤᏲᎾ ᏓᏆ
02073831-n	chr:lemma	ᎹᎾᏘ
02076196-n	chr:lemma	ᎠᎹᏱ ᎡᎯ ᏗᏑᏫᏍᎩ
02076196-n	chr:lemma	ᎠᎹ ᏗᏑᏫᏍᎩ
02076196-n	chr:lemma	ᎠᎹᏱ ᎠᏁᎯ ᏗᏑᏫᏍᎩ
02077658-n	chr:lemma	ᎦᏁᎦ ᎠᏐᎠᏍᏙ
02077923-n	chr:lemma	ᎠᎺᏉ ᏢᏓᏥ
02081571-n	chr:lemma	ᏗᎦᎾᏙᎬ ᎠᏐᎠᏍᏙ
02082791-n	chr:lemma	ᏙᏒᏓᎵ ᏗᎦᏰᏍᎩ
02084071-n	chr:lemma	ᎩᏟ
02084071-n	chr:lemma	ᎩᎵ
02114855-n	chr:lemma	ᏩᏯᎭ
02118333-n	chr:lemma	ᏧᎳ
02121620-n	chr:lemma	ᏪᏌ
02125311-n	chr:lemma	ᏢᏓᏥ
02127052-n	chr:lemma	ᎬᎮ
02127482-n	chr:lemma	ᎬᎮ
02127482-n	chr:lemma	ᎠᎺᎵᎨ ᎬᎮ
02127678-n	chr:lemma	ᎢᎾᎨ ᎬᎮ
02128385-n	chr:lemma	ᏢᏓᏥ ᎤᏅᏣᏗ
02128757-n	chr:lemma	ᎤᎾᏥ ᏢᏓᏥ
02129165-n	chr:lemma	ᏢᏓᏥ ᎤᏍᏆᎴᏂ
02129604-n	chr:lemma	ᏢᏓᏥ ᏧᎶᎸᏗ
