# Wiktionary	enm	http://wiktionary.org/	CC BY-SA
02937876-a	enm:lemma	mathematical
00868910-n	enm:lemma	calculation
01234345-n	enm:lemma	absence
02084071-n	enm:lemma	dogge
02274259-n	enm:lemma	buterflie
02512053-n	enm:lemma	fishe
02876657-n	enm:lemma	botel
04253437-n	enm:lemma	sope
05136150-n	enm:lemma	bredeth
05521514-n	enm:lemma	cunte
05521514-n	enm:lemma	queynt
05521514-n	enm:lemma	queynte
05521514-n	enm:lemma	quoniam
05521514-n	enm:lemma	privitee
05521514-n	enm:lemma	privite
05521514-n	enm:lemma	kent
05521514-n	enm:lemma	cunt
05777439-n	enm:lemma	nigromancy
05777830-n	enm:lemma	chiromanty
06000644-n	enm:lemma	mathematic
06371413-n	enm:lemma	legende
06948761-n	enm:lemma	Middel Englissh
07802026-n	enm:lemma	hey
09350045-n	enm:lemma	Grete See
09823502-n	enm:lemma	aunte
12284262-n	enm:lemma	aller
14801594-n	enm:lemma	corneline
14801594-n	enm:lemma	cornalyn
00245402-r	enm:lemma	wode
00613393-v	enm:lemma	abandounen
00864910-v	enm:lemma	acursien
00864910-v	enm:lemma	acorsien
00948071-v	enm:lemma	counten
