# Wiktionary	frr	http://wiktionary.org/	CC BY-SA
00370869-a	frr:lemma	ween
01539573-n	frr:lemma	hüssparag
01539573-n	frr:lemma	hüsspåri
01539573-n	frr:lemma	grae spåri
02129165-n	frr:lemma	lau
02858304-n	frr:lemma	böötj
03383948-n	frr:lemma	goobel
04105893-n	frr:lemma	dörnsch
05084201-n	frr:lemma	fiirense
06955242-n	frr:lemma	Frasch
06955242-n	frr:lemma	Fresk
06955242-n	frr:lemma	Freesk
06955242-n	frr:lemma	Friisk
08226699-n	frr:lemma	tērp
08544813-n	frr:lemma	lönj
08544813-n	frr:lemma	Lun
08740875-n	frr:lemma	Meksikoo
08761244-n	frr:lemma	Dånmark
08765890-n	frr:lemma	Swärik
08766988-n	frr:lemma	Sjiisklun
08766988-n	frr:lemma	Tjüschlönj
08779504-n	frr:lemma	Finlönj
08928193-n	frr:lemma	Keenia
08953324-n	frr:lemma	Islönj
08960099-n	frr:lemma	Tripolis
09275473-n	frr:lemma	Europa
09334396-n	frr:lemma	lönj
09334396-n	frr:lemma	Lun
10602985-n	frr:lemma	süster
11465017-n	frr:lemma	flååge
13104059-n	frr:lemma	buum
15201505-n	frr:lemma	iir
15209413-n	frr:lemma	moune
15210045-n	frr:lemma	januaar
15252422-n	frr:lemma	iirdäi
00300247-r	frr:lemma	flicht
02655135-v	frr:lemma	weese
