# Wiktionary	gcf	http://wiktionary.org/	CC BY-SA
02946507-a	gcf:lemma	atlantik
00181781-n	gcf:lemma	léléksion
06905358-n	gcf:lemma	kréyol
06964901-n	gcf:lemma	fransè
08168978-n	gcf:lemma	péyi
08362917-n	gcf:lemma	répiblik
08709704-n	gcf:lemma	Antigwa ek Barbouda
08709945-n	gcf:lemma	Antigwa
08711300-n	gcf:lemma	Monséra
08747737-n	gcf:lemma	Lézantiy
08751126-n	gcf:lemma	Gwadloup
08755214-n	gcf:lemma	Barbad
08755852-n	gcf:lemma	Trinidad
08756052-n	gcf:lemma	Tobago
08756202-n	gcf:lemma	Trinidad ek Tobago
08763193-n	gcf:lemma	Donminik
08929922-n	gcf:lemma	Lafrans
08932568-n	gcf:lemma	Pari
08943242-n	gcf:lemma	Matinik
08946909-n	gcf:lemma	Grinad
08987423-n	gcf:lemma	Senkits ek Névis
08988609-n	gcf:lemma	Sentlisi
08989031-n	gcf:lemma	Senvensan é Tigrinad
09235894-n	gcf:lemma	Lanmè Karayib
09254614-n	gcf:lemma	kontinan
09275473-n	gcf:lemma	Éwop
09316454-n	gcf:lemma	zil
09376198-n	gcf:lemma	granlanmè
09426788-n	gcf:lemma	lanmè
10467179-n	gcf:lemma	prézidann
15201505-n	gcf:lemma	lanné
