# Wiktionary	lmo	http://wiktionary.org/	CC BY-SA
02880322-a	lmo:lemma	gramatical
00856847-n	lmo:lemma	omosessüalitaa
02374451-n	lmo:lemma	càal
06000644-n	lmo:lemma	matemàtega
06145326-n	lmo:lemma	paleuclimatulugía
06444148-n	lmo:lemma	Efesit
06966825-n	lmo:lemma	spagnö
07875436-n	lmo:lemma	risott
08731148-n	lmo:lemma	Hong Kong
08740875-n	lmo:lemma	Messich
08761244-n	lmo:lemma	Danimarca
08765890-n	lmo:lemma	Svezia
08779504-n	lmo:lemma	Finlandia
08804845-n	lmo:lemma	Brèsa
08808614-n	lmo:lemma	Lumbardia
08822742-n	lmo:lemma	Edmonton
08952856-n	lmo:lemma	Faroe
08953324-n	lmo:lemma	Islanda
08958212-n	lmo:lemma	Sidun
08960099-n	lmo:lemma	Tripul
09012297-n	lmo:lemma	Estonia
09012530-n	lmo:lemma	Tallinn
09315159-n	lmo:lemma	jun
09359803-n	lmo:lemma	muntagna
09379938-n	lmo:lemma	Orinoco
10332385-n	lmo:lemma	mader
11624531-n	lmo:lemma	paghéra
11624531-n	lmo:lemma	peghéra
11624531-n	lmo:lemma	pighéra
12036067-n	lmo:lemma	achénio
12864160-n	lmo:lemma	üsmarin
14633206-n	lmo:lemma	carbòni
14639921-n	lmo:lemma	eli
14640434-n	lmo:lemma	idrògen
14842847-n	lmo:lemma	fööch
15210045-n	lmo:lemma	zenèr
15210486-n	lmo:lemma	febrar
15211484-n	lmo:lemma	maasc
