# Wiktionary	nav	http://wiktionary.org/	CC BY-SA
00193799-a	nav:lemma	hóyééʼ
00217728-a	nav:lemma	nizhóní
00370869-a	nav:lemma	dootłʼizh
00375969-a	nav:lemma	dinootłʼizh
00379595-a	nav:lemma	dinilchíí’
00385756-a	nav:lemma	łitso
00389310-a	nav:lemma	łibá
00389310-a	nav:lemma	dinilbá
00392812-a	nav:lemma	łizhin
00393105-a	nav:lemma	łigai
00395626-a	nav:lemma	łichííʼ
00413622-a	nav:lemma	wódáanii
00419289-a	nav:lemma	niłhin
00419289-a	nav:lemma	chin bąąh
00461311-a	nav:lemma	kʼos
00494622-a	nav:lemma	tʼááłáʼígo
00538174-a	nav:lemma	nitʼą́ą́ hanádzá
00631391-a	nav:lemma	akótʼé
00645493-a	nav:lemma	doojóódląʼda
00681930-a	nav:lemma	ajéékałgo ąąh dahazʼą́
00744916-a	nav:lemma	nantłʼah
00800248-a	nav:lemma	doo deení da
00910101-a	nav:lemma	ditʼąh
00933154-a	nav:lemma	ílį́įnii
00964906-a	nav:lemma	doo nidínéeshii
00980527-a	nav:lemma	chʼééh
01010862-a	nav:lemma	łáaʼii góneʼ
01010862-a	nav:lemma	áłtsé
01016436-a	nav:lemma	naaki góneʼ
01038102-a	nav:lemma	bílaʼashdlaʼii bilį́į́ʼ
01083157-a	nav:lemma	hadéébįįd
01123148-a	nav:lemma	yáʼátʼééh
01126291-a	nav:lemma	hóyééʼ
01129977-a	nav:lemma	yáʼátʼééh
01131043-a	nav:lemma	doo yáʼáshǫ́ǫ da
01131803-a	nav:lemma	doo yáʼátʼééh da
01251128-a	nav:lemma	hakʼaz
01251128-a	nav:lemma	sikʼaz
01363153-a	nav:lemma	hóyééʼ
01382086-a	nav:lemma	tsoh
01493173-a	nav:lemma	neestʼą́
01586752-a	nav:lemma	yáʼátʼééh
01634736-a	nav:lemma	wááshindoon
01638438-a	nav:lemma	sání
01640850-a	nav:lemma	ániid
01640850-a	nav:lemma	ániidí
01643620-a	nav:lemma	sání
01677433-a	nav:lemma	tsoh
01678729-a	nav:lemma	spéshelígíí
01755024-a	nav:lemma	doo ninítʼįʼii
01811905-a	nav:lemma	ałhiʼdiidzo
02040652-a	nav:lemma	názbąs
02053818-a	nav:lemma	diyin
02202307-a	nav:lemma	tááʼ góneʼ
02202712-a	nav:lemma	ashdlaʼ góneʼ
02202854-a	nav:lemma	hastą́ą́ góneʼ
02203249-a	nav:lemma	náhástʼéí góneʼ
02203373-a	nav:lemma	neeznáá góneʼ
02203629-a	nav:lemma	naakitsʼáadah góneʼ
02203763-a	nav:lemma	tááʼtsʼáadah góneʼ
02204716-a	nav:lemma	naadíín góneʼ
02204823-a	nav:lemma	naadįįłaʼ góneʼ
02204932-a	nav:lemma	naadįįnaaki góneʼ
02205045-a	nav:lemma	naadįįtááʼ góneʼ
02205158-a	nav:lemma	naadįįdį́į́ʼ góneʼ
02205271-a	nav:lemma	naadįįʼashdlaʼ góneʼ
02205384-a	nav:lemma	naadįįhastą́ą́ góneʼ
02205496-a	nav:lemma	naadįįtsostsʼid góneʼ
02205610-a	nav:lemma	naadįįtseebíí góneʼ
02205725-a	nav:lemma	naadįįnáhástʼéí góneʼ
02206998-a	nav:lemma	dízdiin góneʼ
02234781-a	nav:lemma	nahateeł
02236842-a	nav:lemma	diilkǫh
02275892-a	nav:lemma	dláád
02310895-a	nav:lemma	kʼézdon
02497471-a	nav:lemma	chʼééh
02510062-a	nav:lemma	bíígháán dahólónígíí
02510273-a	nav:lemma	bíígháán ádaadinígíí
02547317-a	nav:lemma	ditłééʼ
02551380-a	nav:lemma	yíłtseii
02552415-a	nav:lemma	hóółtseii
02957469-a	nav:lemma	Bééshbichʼahii bi-
03074777-a	nav:lemma	Indo-Eudopaa bizaad
00007846-n	nav:lemma	diné
00007846-n	nav:lemma	hwó
00015388-n	nav:lemma	naaldeehii
00017222-n	nav:lemma	chʼil
00021265-n	nav:lemma	chʼiyáán
00028270-n	nav:lemma	ookił
00173761-n	nav:lemma	bee naʼanishí
00415442-n	nav:lemma	naaltéʼ
00428270-n	nav:lemma	azhish
00471613-n	nav:lemma	jooł daakalígíí
00478262-n	nav:lemma	jooł nabíznítaałí
00480211-n	nav:lemma	jooł nabízníkaadí
00480993-n	nav:lemma	jooł nikídílniihí
00484802-n	nav:lemma	naʼatłʼoʼ
00488225-n	nav:lemma	dáʼákaʼ
00575741-n	nav:lemma	naanish
00584367-n	nav:lemma	naashnish
00757080-n	nav:lemma	bąąhági átʼéii
00780889-n	nav:lemma	aniʼį́į́ʼ
00780889-n	nav:lemma	aneestʼį́į́ʼ
00823884-n	nav:lemma	achʼąąʼ adáʼatsʼiʼ
00928371-n	nav:lemma	nahat’á
00973077-n	nav:lemma	baaʼ
01057631-n	nav:lemma	nidaʼąnyéézh
01221611-n	nav:lemma	hashké nídzin
01248075-n	nav:lemma	diigis
01312096-n	nav:lemma	naaki góneʼ yéigo daʼahijoogą́ą́ʼ
01318894-n	nav:lemma	łį́į́ʼ
01322604-n	nav:lemma	łééchąąyázhí
01324431-n	nav:lemma	naaldeehii daʼalghałígíí
01325417-n	nav:lemma	adeeʼ
01326291-n	nav:lemma	chʼosh doo yitʼínii
01348530-n	nav:lemma	chʼosh doo yitʼínii
01397114-n	nav:lemma	tátłʼid
01444339-n	nav:lemma	naʼashǫ́ʼii łóóʼ atsiniltłʼish ííłʼínígíí
01444339-n	nav:lemma	atsiniltłʼish ííłʼínígíí
01454545-n	nav:lemma	táłtłʼááh kʼaaʼ
01456756-n	nav:lemma	táłtłʼááh łį́į́ʼ
01457082-n	nav:lemma	dáánézí
01467804-n	nav:lemma	łóóʼchilí bitʼaʼ ádaadinígíí
01471682-n	nav:lemma	naaldeehii bitsʼin dahólónígíí
01480516-n	nav:lemma	łóóʼ ooshgę́ęzhii
01482330-n	nav:lemma	łóóʼ hashkéhé
01484850-n	nav:lemma	łóóʼ hashkéhétsoh
01485479-n	nav:lemma	łóóʼntsxaaí díníchʼahii
01488038-n	nav:lemma	łóóʼntsxaaí łikizhígíí
01491006-n	nav:lemma	łóóʼ hashkéhé dootłʼizhígíí
01494475-n	nav:lemma	łóóʼ hashkéhé bitsiiʼ dikʼání
01496331-n	nav:lemma	łóóʼtʼą́hí atsiniltłʼish ííłʼínígíí
01497738-n	nav:lemma	tsiikʼánii
01500091-n	nav:lemma	łóóʼ adishishí ntsxaaígíí
01503061-n	nav:lemma	tsídii
01518878-n	nav:lemma	tsídiitsoh
01519563-n	nav:lemma	tsídiitsoh bikʼos dootłʼizhí
01519873-n	nav:lemma	tsídiitsoh ditsʼozígíí
01520576-n	nav:lemma	tsídii biyęęzhtsohígíí
01521756-n	nav:lemma	Shádiʼááhdę́ę́ʼ tsídiitsoh
01523105-n	nav:lemma	naayééʼ tsídiitsoh
01531178-n	nav:lemma	tsídiiłtsooí bitʼaʼ łizhinígíí
01534433-n	nav:lemma	dilchʼóshii
01539573-n	nav:lemma	tsídiiłbáhí
